2349,211
2349,209
2349,213
2350,219
2350,215
2350,217
2351,225
2351,221
2351,223
2352,231
2352,229
2352,227
2353,235
2353,237
2353,233
2354,243
2354,239
2354,241
2355,247
2355,249
2355,245
2356,251
2356,255
2356,253
2357,257
2357,259
2357,261
2358,263
2358,267
2358,265
2359,271
2359,269
2359,273
2360,275
2360,277
2360,279
2361,283
2361,285
2361,281
2362,289
2362,291
2362,287
2363,297
2363,293
2363,295
2364,299
2364,301
2364,303
2365,309
2365,305
2365,307
2366,315
2366,311
2366,313
2367,319
2367,317
2367,321
2368,325
2368,323
2368,327
