user_id,language_id
1,4
5,8
9,4
10,8
11,4
12,8
13,4
14,8
15,4
16,8
17,4
18,8
19,4
20,8
21,4
22,8
23,4
24,8
25,4
26,8
27,4
28,8
29,4
30,8
31,4
32,8
33,4
34,8
35,4
36,8
37,4
38,8
39,4
40,8
41,4
42,8
43,4
44,8
45,4
46,8
47,4
48,8
49,4
50,8
51,4
52,8
53,4
54,8
55,4
56,8
57,4
58,8
59,4
60,8
61,4
62,8
63,4
64,8
65,4
66,8
67,4
68,8
69,4
70,8
71,4
72,8
73,4
74,8
75,4
76,8
77,4
78,8
79,4
80,8
81,4
82,8
83,4
84,8
85,4
86,8
87,4
88,8
89,4
90,8
91,4
92,8
93,4
94,8
95,4
96,8
97,4
98,8
99,4
100,8
101,4
102,8
103,4
104,8
105,4
106,8
