chat_id,user_one_id,user_two_id,deleted_for_user_one,deleted_for_user_two
2329,1,57,false,false
2330,5,58,false,false
2331,9,59,false,false
2332,10,60,false,false
2333,11,61,false,false
2334,12,62,false,false
2335,13,63,false,false
2336,14,64,false,false
2337,15,65,false,false
2338,16,66,false,false
2339,17,67,false,false
2340,18,68,false,false
2341,19,69,false,false
2342,20,70,false,false
2343,21,71,false,false
2344,22,72,false,false
2345,23,73,false,false
2346,24,74,false,false
2347,25,75,false,false
2348,26,76,false,false
