id,persist_date,post_id,user_id
2369,2020-12-02 15:36:04.693556,1413,1
2370,2020-12-02 15:36:04.693826,1411,1
2371,2020-12-02 15:36:04.69391,1410,5
2372,2020-12-02 15:36:04.693991,1409,5
2373,2020-12-02 15:36:04.69408,1412,9
2374,2020-12-02 15:36:04.694163,1417,9
2375,2020-12-02 15:36:04.694239,1411,10
2376,2020-12-02 15:36:04.69432,1419,10
2377,2020-12-02 15:36:04.694396,1409,11
2378,2020-12-02 15:36:04.694472,1420,11
2379,2020-12-02 15:36:04.694548,1417,12
2380,2020-12-02 15:36:04.694628,1416,12
2381,2020-12-02 15:36:04.694707,1419,13
2382,2020-12-02 15:36:04.694786,1418,13
2383,2020-12-02 15:36:04.694866,1420,14
2384,2020-12-02 15:36:04.694945,1426,14
2385,2020-12-02 15:36:04.695024,1416,15
2386,2020-12-02 15:36:04.695103,1423,15
2387,2020-12-02 15:36:04.695183,1418,16
2388,2020-12-02 15:36:04.695262,1424,16
2389,2020-12-02 15:36:04.699269,1426,17
2390,2020-12-02 15:36:04.699445,1425,17
2391,2020-12-02 15:36:04.699559,1423,18
2392,2020-12-02 15:36:04.699673,1422,18
2393,2020-12-02 15:36:04.699783,1424,19
2394,2020-12-02 15:36:04.699884,1428,19
2395,2020-12-02 15:36:04.699965,1425,20
2396,2020-12-02 15:36:04.700054,1429,20
2397,2020-12-02 15:36:04.700141,1422,21
2398,2020-12-02 15:36:04.700222,1432,21
2399,2020-12-02 15:36:04.700299,1428,22
2400,2020-12-02 15:36:04.700376,1431,22
2401,2020-12-02 15:36:04.700452,1429,23
2402,2020-12-02 15:36:04.700526,1430,23
2403,2020-12-02 15:36:04.700602,1432,24
2404,2020-12-02 15:36:04.700676,1437,24
2405,2020-12-02 15:36:04.70075,1431,25
2406,2020-12-02 15:36:04.700825,1436,25
2407,2020-12-02 15:36:04.7009,1430,26
2408,2020-12-02 15:36:04.700975,1435,26
2409,2020-12-02 15:36:04.703484,1437,27
2410,2020-12-02 15:36:04.703625,1434,27
2411,2020-12-02 15:36:04.703696,1436,28
2412,2020-12-02 15:36:04.703765,1438,28
2413,2020-12-02 15:36:04.703833,1435,29
2414,2020-12-02 15:36:04.703901,1441,29
2415,2020-12-02 15:36:04.703978,1434,30
2416,2020-12-02 15:36:04.704086,1442,30
2417,2020-12-02 15:36:04.704168,1438,31
2418,2020-12-02 15:36:04.704246,1443,31
2419,2020-12-02 15:36:04.704327,1441,32
2420,2020-12-02 15:36:04.704409,1440,32
2421,2020-12-02 15:36:04.704487,1442,33
2422,2020-12-02 15:36:04.704568,1444,33
2423,2020-12-02 15:36:04.704646,1443,34
2424,2020-12-02 15:36:04.704725,1447,34
2425,2020-12-02 15:36:04.704803,1440,35
2426,2020-12-02 15:36:04.704877,1446,35
2427,2020-12-02 15:36:04.704956,1444,36
2428,2020-12-02 15:36:04.705028,1450,36
2429,2020-12-02 15:36:04.707953,1447,37
2430,2020-12-02 15:36:04.708116,1449,37
2431,2020-12-02 15:36:04.708186,1446,38
2432,2020-12-02 15:36:04.708252,1448,38
2433,2020-12-02 15:36:04.708316,1450,39
2434,2020-12-02 15:36:04.70838,1452,39
2435,2020-12-02 15:36:04.708445,1449,40
2436,2020-12-02 15:36:04.708508,1454,40
2437,2020-12-02 15:36:04.708572,1448,41
2438,2020-12-02 15:36:04.708636,1455,41
2439,2020-12-02 15:36:04.7087,1452,42
2440,2020-12-02 15:36:04.708765,1453,42
2441,2020-12-02 15:36:04.70883,1454,43
2442,2020-12-02 15:36:04.708894,1456,43
2443,2020-12-02 15:36:04.708958,1455,44
2444,2020-12-02 15:36:04.709022,1458,44
2445,2020-12-02 15:36:04.709086,1453,45
2446,2020-12-02 15:36:04.70915,1459,45
2447,2020-12-02 15:36:04.709214,1456,46
2448,2020-12-02 15:36:04.709277,1460,46
2449,2020-12-02 15:36:04.712099,1458,47
2450,2020-12-02 15:36:04.712169,1462,47
2451,2020-12-02 15:36:04.712226,1459,48
2452,2020-12-02 15:36:04.71229,1461,48
2453,2020-12-02 15:36:04.712348,1460,49
2454,2020-12-02 15:36:04.712405,1466,49
2455,2020-12-02 15:36:04.71246,1462,50
2456,2020-12-02 15:36:04.712516,1468,50
2457,2020-12-02 15:36:04.712578,1461,51
2458,2020-12-02 15:36:04.712647,1465,51
2459,2020-12-02 15:36:04.712706,1466,52
2460,2020-12-02 15:36:04.712761,1464,52
2461,2020-12-02 15:36:04.712817,1468,53
2462,2020-12-02 15:36:04.712872,1467,53
2463,2020-12-02 15:36:04.712927,1465,54
2464,2020-12-02 15:36:04.712983,1473,54
2465,2020-12-02 15:36:04.713039,1464,55
2466,2020-12-02 15:36:04.713094,1470,55
2467,2020-12-02 15:36:04.713149,1467,56
2468,2020-12-02 15:36:04.713205,1472,56
